video_id,ai_score,channel_name,created_at,human_score,published_at,script_analysis,storage_path,thumbnail_url,title,updated_at,view_count
Q76yCXXI660,,트렌드바구니,,,2026-02-18T08:48:20Z,"{""summary"": ""의학적 효능 과장(세균 박멸) 및 연예인 사칭 의혹이 있는 미검증 광고로 판단되어 위험 등급입니다."", ""patent_check"": null, ""consultation"": ""유명 연예인의 딥페이크나 사칭을 이용한 가짜 광고일 가능성이 높습니다. '세균 제거' 등 의학적 표현에 현혹되지 마시고, 식약처 인증 여부를 반드시 확인하십시오."", ""reliability_level"": ""위험"", ""evidence"": [{""url"": null, ""source"": ""식약처 광고 가이드라인"", ""fact"": ""화장품 광고에서 '세균 제거', '염증 치료', '흉터 방지' 등 의학적 효능을 표현하는 것은 약사법 위반 소지가 큼.""}, {""url"": ""http://www.kipris.or.kr"", ""source"": ""KIPRIS(특허정보검색시스템)"", ""fact"": ""광고 내 언급된 '마녀 장백' 성분이나 '투나패드'와 관련된 특허나 정식 등록 내역이 확인되지 않음.""}], ""issues"": [""[의학적과장] 세균 박멸 및 흉터 방지 주장"", ""[연예인도용] 유명 아이돌 사칭 마케팅 의심"", ""[성분불분명] '마녀 장백' 등 근거 없는 성분명"", ""[허위보장] 면봉 도포 시 뾰루지 소멸 확언""]}",,https://i.ytimg.com/vi/Q76yCXXI660/hqdefault.jpg,잡티하나없는 여돌 아기피부 루틴,1771555224,305585
MVHFFHY7Kzo,5,밈레터,,95,2026-02-10T12:26:58Z,,D:\Files\Leaning\sprint_backend\Extraction_MVHFFHY7Kzo,https://i.ytimg.com/vi/MVHFFHY7Kzo/hqdefault.jpg,미나수 나이 듣고 소리 지른 성훈,1770790218,583990
f-sQqU9OC00,,Oral-B Korea,,,2026-01-29T01:28:15Z,"{""summary"": ""임상 데이터(일반 칫솔 대비 성능)에 기반한 기술 강조 광고이며, 핵심 주장이 제품의 실제 기능과 일치합니다."", ""patent_check"": null, ""consultation"": ""광고의 '2배' 수치는 일반 수동 칫솔과의 비교 결과입니다. 지능형 압력 센서는 실제 잇몸 보호에 유효한 기술입니다."", ""reliability_level"": ""안전"", ""evidence"": [{""url"": null, ""source"": ""P&G Oral Care Clinical Research"", ""fact"": ""오랄비 iO 시리즈는 임상 시험을 통해 일반 수동 칫솔 대비 플라그 제거력 및 잇몸 건강 개선 효과가 약 2배 이상 높음을 입증했습니다.""}], ""issues"": [""[비교대상] 일반 칫솔 대비 수치임을 미명시"", ""[공포심리] 일반 양치 시 잇몸 손상 위험 강조""]}",,https://i.ytimg.com/vi/f-sQqU9OC00/hqdefault.jpg,"오랄비 iO, 단 2분의 양치로, 최대 2배 더 많은 플라그*를 제거하고 압력 센서로 2배 더* 잘 잇몸을 보호 | 오랄비",1771066389,2297099
qChFN8jQFQ8,,올끌 (All of MBClassic),,,2020-09-15T09:00:14Z,"{""summary"": ""실제 예능 방송(무한도전)의 경기 장면이며, 기만적 상업 광고나 허위 주장이 포함되지 않았습니다."", ""patent_check"": null, ""consultation"": ""특정 제품을 판매하거나 효능을 주장하는 광고가 아닌 예능 콘텐츠이므로 안심하고 시청하셔도 됩니다."", ""reliability_level"": ""안전"", ""evidence"": [{""url"": ""https://m.imbc.com/program/1000740100000100000"", ""source"": ""MBC 무한도전"", ""fact"": ""2013년 방영된 '와이키키 브라더스' 특집 중 노홍철의 숫자 맞추기 게임(숫자 42) 장면입니다.""}], ""issues"": [""[내용확인] 지상파 예능 프로그램 편집본"", ""[검증완료] 실제 방영된 게임 내용과 일치""]}",,https://i.ytimg.com/vi/qChFN8jQFQ8/hqdefault.jpg,[9月의 무도] 와이키키가 보여요~🤩 LUCKY가이 꽹과리의 1:6 눈치싸움! ＂니가 가라 하와이＂ 5편 #옛능 (MBC 20120908 방송),1771766274,2476387
F8_iilRuK2Q,,빨강도깨비,,,2026-01-08T10:30:09Z,"{""summary"": ""영화 제작 비하인드를 다루는 지식 정보 콘텐츠이며, 기만적 상업 광고 요소가 없어 안전합니다."", ""patent_check"": null, ""consultation"": ""본 스크립트는 특정 제품을 판매하기 위한 광고가 아닌 영화 상식 공유를 목적으로 하며, 내용상 소비자 기만 행위는 발견되지 않습니다."", ""reliability_level"": ""안전"", ""evidence"": [{""url"": null, ""source"": ""영화 제작 비하인드(Making-of)"", ""fact"": ""크리스토퍼 놀란 감독은 CG 사용을 최소화하고 실물 세트와 전통적인 특수효과(Practical Effects)를 선호하는 것으로 세계적으로 유명합니다.""}, {""url"": null, ""source"": ""영화 '테넷' 제작 정보"", ""fact"": ""영화 '테넷'은 약 280개의 VFX 컷만 사용하여 일반적인 블록버스터보다 CG 비중이 현저히 낮으며, 실제 비행기 폭파 등 실사 촬영을 진행했습니다.""}], ""issues"": [""[정보: 실사촬영] 놀란 감독의 제작 철학 부합"", ""[기법: 원근법] 영화적 연출 기법에 대한 설명""]}",,https://i.ytimg.com/vi/F8_iilRuK2Q/hqdefault.jpg,차라리 그냥 CG로 하지 ㅋㅋ,1771053481,858219
3n61wHooiv8,,홈루덴스,,,2024-09-04T10:00:03Z,"{""summary"": ""유명 가구 브랜드의 실존 모델과 디자인 정보를 정확하게 제공하고 있어 안전합니다."", ""patent_check"": null, ""consultation"": ""언급된 제품들은 검증된 유명 디자인 가구입니다. 공식 매장을 방문하여 실제 크기와 마감 소재를 확인 후 구매하시길 권장합니다."", ""reliability_level"": ""안전"", ""evidence"": [{""url"": ""https://www.fritzhansen.com"", ""source"": ""Fritz Hansen 공식 홈페이지"", ""fact"": ""슈퍼 엘립티컬(Super-Elliptical)은 피에트 하인, 브루노 마트손 등이 디자인한 프리츠 한센의 실제 모델입니다.""}, {""url"": ""https://www.boconcept.com"", ""source"": ""BoConcept 공식 홈페이지"", ""fact"": ""오타와(Ottawa)는 카림 라시드가 디자인한 확장형 식탁이며, 킹스턴(Kingston) 역시 실존하는 인기 모델입니다.""}], ""issues"": [""[정보정확] 언급된 브랜드 및 모델 실존"", ""[디자인일치] 유명 디자이너 참여 사실 확인""]}",,https://i.ytimg.com/vi/3n61wHooiv8/hqdefault.jpg,"식탁 고민된다면, 이 3가지 중에서만 고르세요!! 🛋️",1771156235,229206
5v9pN5joRxk,,HANGAME,,,2026-01-22T04:42:08Z,"{""summary"": ""제품 정보나 객관적 근거 없이 사행심을 자극하는 표현만 사용되어 신뢰성을 평가할 수 없습니다."", ""patent_check"": null, ""consultation"": ""실체가 불분명하고 자극적인 대사로 클릭을 유도하는 광고는 불법 사행성 서비스일 가능성이 높으므로 주의하십시오."", ""reliability_level"": ""정보 부족"", ""evidence"": [{""url"": null, ""source"": ""스크립트 내용 분석"", ""fact"": ""광고 내에 제품명, 업체명, 특허 번호 등 검증 가능한 실질적 정보가 전혀 포함되어 있지 않습니다.""}, {""url"": null, ""source"": ""문화 콘텐츠 검색"", ""fact"": ""해당 대사는 영화 '타짜'의 대사를 인용한 것으로 보이며, 주로 사행성 게임 광고에서 사용되는 방식입니다.""}], ""issues"": [""[정보 부재] 제품 및 서비스명 미확인"", ""[요행 강조] 근거 없는 요행과 배팅 유도""]}",,https://i.ytimg.com/vi/5v9pN5joRxk/hqdefault.jpg,260120_HPC_SGC_[스파클_왜 콜했겠어]_세로형_~,1772018300,10505914
sLygBEtRtME,,Video ad upload channel for 949-505-6825,,,2025-03-19T06:54:43Z,"{""summary"": ""공식 파트너 프로그램의 수익 구조를 안내하며, 실제 서비스 정책과 부합하여 안전합니다."", ""patent_check"": null, ""consultation"": ""실제 존재하는 보상 프로그램입니다. 단, 50% 수익은 '첫해'에 한정되므로 상세 약관의 지급 조건을 반드시 확인하십시오."", ""reliability_level"": ""안전"", ""evidence"": [{""url"": ""https://www.framer.com/partners/"", ""source"": ""Framer 공식 홈페이지"", ""fact"": ""신규 유료 플랜 가입 시 첫 12개월 동안 결제액의 50%를 리워드로 지급하는 파트너 프로그램을 실제 운영 중입니다.""}, {""url"": null, ""source"": ""Framer Creator Economy 뉴스"", ""fact"": ""Framer는 템플릿 마켓플레이스와 리믹스 링크를 통한 크리에이터 수익 창출 생태계를 공식적으로 지원하고 있습니다.""}], ""issues"": [""[수익배분] 50% 리워드는 첫해 한정임"", ""[수익성] 개인 성과에 따른 수입 변동성""]}",,https://i.ytimg.com/vi/sLygBEtRtME/hqdefault.jpg,Blurry: Framer Creators: How Designers Earn Money & Build Passive Income with Framer,1771072846,15700
E5yqQaInjq0,,GOLDEN BLUE 골든블루,,,2026-01-02T11:01:45Z,"{""summary"": ""광고 내 구체적인 상품 정보나 주장이 포함되지 않아 신뢰성을 판단할 근거가 부족합니다."", ""patent_check"": null, ""consultation"": ""광고의 목적이나 홍보 대상이 명확하지 않습니다. 추가적인 정보 없이는 제품의 안전성이나 신뢰성을 판단할 수 없습니다."", ""reliability_level"": ""정보 부족"", ""evidence"": [{""url"": null, ""source"": ""광고 스크립트 분석"", ""fact"": ""제공된 스크립트는 '오늘도가 볼까?'라는 일상적 표현과 음악으로만 구성되어 있어 검증할 대상이 없습니다.""}], ""issues"": [""[정보부족] 제품명 및 효능 설명 없음"", ""[검증불가] 분석 가능한 핵심 주장 부재""]}",,https://i.ytimg.com/vi/E5yqQaInjq0/hqdefault.jpg,"캠핑하다 만난 뜻밖의 행복, 골든블루 쿼츠_쇼츠",1771153769,2313268
apWagY590TI,,다나움요양병원,,,2025-01-15T10:00:04Z,"{""summary"": ""의학적 사실 기반의 정보 전달이며, 허위 특허나 비과학적 과장 주장이 없어 안전합니다."", ""patent_check"": null, ""consultation"": ""항암 중 치과 치료는 반드시 혈액 수치를 확인한 후 주치의와 상의하여 진행하는 것이 가장 안전합니다."", ""reliability_level"": ""안전"", ""evidence"": [{""url"": ""https://www.cancer.go.kr"", ""source"": ""국가암정보센터"", ""fact"": ""항암 치료 중에는 감염 및 출혈 위험으로 발치 등 침습적 시술이 제한되며, 철저한 구강 위생 관리가 권장됩니다.""}], ""issues"": [""[정보: 항암 중 침습 치료 주의]"", ""[홍보: 환자 맞춤형 관리 강조]""]}",,https://i.ytimg.com/vi/apWagY590TI/hqdefault.jpg,항암 중인 암환자는 치과치료 가능할까? #shorts,1771155894,1464908
